Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5417	6.0334	9.2324	3	4	2	2
Positive	7.5215	6.8521	10.7601	19	10	0	32
Positive	7.5495	4.1832	10.5776	2	2	0	2
Positive	7.605	1.2228	7.2965	12	14	0	0
Positive	7.6253	0.788	5.2896	1	10	1	0
Positive	7.5977	5.7081	2.5798	3	8	0	0
Positive	7.597	4.6665	3.9758	21	29	6	0
Positive	7.5706	4.4321	7.6019	0	10	0	0
Positive	7.6	3.201	5.4395	7	10	0	0
Positive	7.5561	6.9111	6.3193	3	6	4	0
Positive	7.6007	3.0817	5.502	6	8	0	0
Positive	7.597	1.3844	8.1117	1	12	0	0
Positive	7.6173	0.8809	6.1735	0	3	0	0
Positive	7.5989	2.5721	6.3704	5	8	4	0
Positive	7.5829	6.8279	3.0405	11	8	0	1
Positive	7.5951	1.5236	8.1659	1	7	0	0
Positive	7.625	1.6379	4.2456	1	24	0	0
Positive	7.6037	4.7726	2.9919	2	18	1	18
Positive	7.5976	1.1155	8.3709	0	1	0	0
Positive	7.5966	6.5233	1.6902	2	4	0	4
Positive	7.5517	7.0805	6.6536	3	7	5	0
Positive	7.6315	1.921	3.0729	6	8	1	7
Positive	7.5628	2.7337	10.7313	4	16	0	0
Positive	7.609	1.3607	6.6155	4	11	0	0
Positive	7.5834	3.509	7.1455	13	32	5	1
Positive	7.6218	1.2799	5.1118	1	7	0	0
Positive	7.6202	2.6302	3.6066	1	4	0	1
Positive	7.5526	4.4668	9.8288	0	14	0	0
Positive	7.6381	2.6332	1.3392	5	15	0	0
Positive	7.5719	5.5905	5.9812	2	11	2	0
Positive	7.5926	3.3923	6.1327	0	5	1	0
Positive	7.6093	0.9738	7.0739	2	2	0	0
Positive	7.6141	4.4403	2.1057	8	14	0	17
Positive	7.5588	6.4242	6.5861	0	5	0	1
Positive	7.6151	0.5754	6.84	5	12	2	0
Positive	7.559	7.0912	5.7266	24	25	14	12
Positive	7.6348	0.3695	4.6145	2	3	1	0
Positive	7.6266	3.0614	2.254	2	4	0	0
Positive	7.5676	6.2107	5.7432	0	1	2	0
Positive	7.6037	1.4077	7.2366	2	0	0	0
Positive	7.6381	1.505	2.7668	9	14	1	0
Positive	7.6317	3.3292	1.2818	19	14	0	1
Positive	7.5567	3.4063	10.6569	0	0	0	1
Positive	7.61	1.3348	6.5231	1	7	0	1
Positive	7.5222	6.764	10.7758	6	10	0	17
Positive	7.5681	2.4757	10.3825	1	4	0	0
Positive	7.5415	6.6332	8.5139	4	4	0	15
Positive	7.5858	4.3367	5.8056	4	7	1	3
Positive	7.5978	4.7158	3.8125	3	6	1	0
Positive	7.5873	4.1336	5.8675	3	5	5	0
Positive	7.6126	1.5595	5.9169	0	0	0	0
Positive	7.5807	4.2478	6.5579	4	5	2	2
Positive	7.6225	0.369	6.1629	0	1	0	0
Positive	7.5804	2.8437	8.3641	11	8	0	0
Positive	7.5614	2.8025	10.8138	0	8	0	0
Positive	7.6429	1.4501	2.2297	3	6	0	0
Positive	7.5795	3.2467	7.9704	2	7	0	0
Positive	7.5843	4.1442	6.2325	2	2	2	0
Positive	7.5553	6.416	7.0374	23	13	14	0
Positive	7.6344	2.3374	2.1864	8	15	0	1
Positive	7.6094	4.8151	2.2279	6	13	0	0
Positive	7.6229	3.6224	2.0142	8	6	2	16
Positive	7.5714	3.4317	8.7567	1	22	4	14
Positive	7.5273	7.2662	9.5073	12	1	1	0
Positive	7.5996	3.073	5.6473	1	12	0	0
Positive	7.608	2.9058	4.8033	0	2	0	0
Positive	7.6044	0.7455	7.9787	3	9	0	0
Positive	7.5525	3.9079	10.5447	1	13	0	5
Positive	7.6132	1.3014	6.1648	1	5	0	0
Positive	7.5666	5.9121	6.2494	5	15	20	9
Positive	7.5625	6.7853	5.6677	8	0	0	0
Positive	7.5987	4.0189	4.5725	2	4	0	0
Positive	7.6151	5.267	0.9295	3	15	0	25
Positive	7.6309	1.1714	4.0917	5	11	0	0
Positive	7.5599	7.0944	5.6057	5	11	2	0
Positive	7.5385	6.6886	8.8125	7	7	0	10
Positive	7.5911	1.9438	8.1431	2	6	0	0
Positive	7.5756	2.6252	9.2494	3	3	3	0
Positive	7.5821	1.6134	9.6999	1	26	0	0
Positive	7.5793	4.9592	5.8468	6	10	6	2
Positive	7.6173	0.5271	6.6278	4	18	0	0
Positive	7.5862	3.1606	7.2381	1	5	0	0
Positive	7.5571	4.1364	9.6789	4	10	0	13
Positive	7.5632	5.2513	7.5127	8	10	0	0
Positive	7.5868	4.3226	5.6914	3	3	0	2
Positive	7.536	6.9068	8.8589	8	8	0	11
Positive	7.6204	1.2021	5.3847	6	24	0	0
Positive	7.6117	2.4999	4.8495	6	4	6	0
Positive	7.6119	1.2517	6.3895	1	13	1	0
Positive	7.6135	1.4522	5.9327	1	0	0	0
Positive	7.6132	3.2022	3.7698	4	10	0	0
Positive	7.59	6.7208	2.2714	7	13	0	3
Positive	7.6164	3.3335	3.2013	6	9	1	3
Positive	7.583	4.9354	5.4065	3	7	8	0
Positive	7.608	3.4209	4.1593	5	14	0	0
Positive	7.5549	3.7193	10.4856	1	13	0	0
Positive	7.6285	3.838	1.0439	4	8	0	0
Positive	7.605	1.3314	7.1692	0	2	0	0
Positive	7.5558	6.8364	6.4447	8	5	6	0
Positive	7.5773	4.3407	6.8705	2	3	0	0
Positive	7.5627	3.5601	9.6992	2	30	20	12
Positive	7.5642	6.9437	5.2481	6	3	3	0
Positive	7.5531	4.6743	9.5043	0	0	0	1
Positive	7.6129	0.5097	7.1939	1	4	0	0
Positive	7.635	3.4012	0.7654	14	2	0	13
Positive	7.5626	4.9332	7.978	10	11	0	1
Positive	7.5906	2.842	7.0858	4	4	1	0
Positive	7.6339	1.6784	3.0799	7	9	0	0
Positive	7.6392	1.2716	2.9161	5	29	0	1
Positive	7.626	0.5649	5.4769	1	6	0	0
Positive	7.6383	2.5878	1.3817	0	1	0	0
Positive	7.6201	0.1941	6.6895	3	0	0	0
Positive	7.5647	2.7333	10.4896	0	4	0	0
Positive	7.6375	0.3927	4.2406	7	1	0	1
Positive	7.6333	0.8831	4.156	7	19	0	0
Positive	7.5928	3.9141	5.4507	3	23	15	0
Positive	7.5772	2.56	9.1304	1	10	0	0
Positive	7.5582	4.1391	9.5348	1	6	0	1
Positive	7.6397	1.9987	1.9398	3	11	1	0
Positive	7.5307	6.3947	10.1718	1	15	0	0
Positive	7.6368	2.9552	1.1077	5	9	0	1
Positive	7.6293	2.0674	3.164	1	4	0	1
Positive	7.5672	6.0756	5.9619	7	12	0	0
Positive	7.5896	4.6456	4.932	3	6	1	0
Positive	7.6127	3.4852	3.4769	3	9	0	0
Positive	7.6056	1.8831	6.3888	0	7	0	0
Positive	7.5608	6.263	6.5404	0	2	0	0
Positive	7.6361	1.5896	2.9096	7	15	0	0
Positive	7.6199	1.0143	5.6824	4	16	0	1
Positive	7.5981	2.1408	7.0183	2	2	0	0
Positive	7.6338	0.0869	5.0875	15	6	0	1
Positive	7.6435	0.9295	2.8102	11	18	3	3
Positive	7.5468	6.3805	8.1555	9	9	11	11
Positive	7.5572	5.701	7.6957	1	4	4	5
Positive	7.5273	6.7806	10.1105	6	4	0	0
Positive	7.6336	1.0144	3.9536	3	22	0	0
Positive	7.5707	5.3825	6.396	2	5	0	5
Positive	7.585	1.5871	9.3707	2	12	0	16
Positive	7.568	3.1001	9.6154	0	2	1	0
Positive	7.588	6.4929	2.8101	10	11	0	9
Positive	7.6387	1.2347	3.0294	5	12	0	0
Positive	7.6437	0.6422	3.1458	3	3	0	0
Positive	7.5789	5.656	5.0111	2	7	0	0
Positive	7.603	1.2586	7.5072	6	13	0	0
Positive	7.6433	2.1708	1.2751	5	9	0	0
Positive	7.6417	1.6239	2.1664	9	7	0	0
Positive	7.6129	4.1208	2.6507	2	12	3	5
Positive	7.5777	5.55	5.2958	53	5	11	0
Positive	7.612	5.5303	0.9902	20	20	0	21
